Date,GA,PPG,PP,SHG,SHGA,PPGA,Penalties,PP%,PK%
9/8/2018,4,0,0,0,0,1,1,0.00%,0.00%
09/15/2018,3,0,0,0,0,0,0,0.00%,100.00%
09/22/2018,3,1,2,0,0,0,2,50.00%,100.00%
09/28/2018,2,1,2,0,0,0,0,50.00%,100.00%
10/6/2018,3,0,4,0,0,2,3,0.00%,33.33%
10/8/2018,1,0,2,0,0,0,2,0.00%,100.00%
10/13/2018,2,0,1,0,0,0,2,0.00%,100.00%
10/24/2018,0,0,4,0,0,0,2,0.00%,100.00%
10/27/2018,0,0,3,0,0,0,3,0.00%,100.00%
11/7/2018,3,1,5,0,1,0,3,20.00%,100.00%
11/16/2018,2,0,1,0,0,0,2,0.00%,100.00%
11/22/2018,0,0,0,0,0,0,0,0.00%,100.00%
11/24/2018,3,0,2,0,0,0,2,0.00%,100.00%
12/02/2018,1,0,3,0,0,0,3,0.00%,100.00%
12/11/2018,3,0,1,0,0,0,0,0.00%,100.00%
12/17/2018,3,0,3,1,0,1,3,0.00%,66.67%
12/22/2018,4,0,3,0,0,1,2,0.00%,50.00%
12/29/2018,4,0,1,0,0,1,2,0.00%,50.00%
1/5/2019,2,3,6,0,0,0,2,50.00%,100.00%
1/18/2019,4,0,2,0,0,0,0,0.00%,100.00%
1/24/2019,4,0,4,0,0,1,2,0.00%,50.00%
1/29/2019,5,0,5,0,1,0,0,0.00%,100.00%
2/2/2019,3,0,2,0,0,0,0,0.00%,100.00%
Totals,59,6,56,1,2,6,35,10.71%,82.86%
